"","x"
"1",2
"2",1
"3",1
"4",1
"5",2
"6",3
"7",1
"8",1
"9",2
"10",2
"11",1
"12",2
"13",0
"14",1
"15",0
"16",0
"17",1
"18",1
"19",1
"20",1
"21",2
"22",0
"23",1
"24",2
"25",2
"26",2
"27",2
"28",1
"29",6
"30",1
"31",2
"32",1
"33",1
"34",0
"35",1
"36",1
"37",4
"38",1
"39",2
"40",0
"41",0
"42",0
"43",0
"44",1
"45",0
"46",0
"47",1
"48",6
"49",0
"50",2
"51",2
"52",1
"53",1
"54",0
"55",4
"56",2
"57",0
"58",2
"59",0
"60",2
"61",3
"62",0
"63",2
"64",4
"65",1
"66",3
"67",2
"68",0
"69",0
"70",0
"71",0
"72",0
"73",1
"74",4
"75",1
"76",1
"77",1
"78",0
"79",2
"80",0
"81",1
"82",6
"83",1
"84",3
"85",6
"86",1
"87",0
"88",1
"89",0
"90",2
"91",2
"92",0
"93",0
"94",1
"95",1
"96",2
"97",1
"98",1
"99",0
"100",0
"101",0
"102",2
"103",7
"104",0
"105",1
"106",2
"107",1
"108",1
"109",5
"110",1
"111",1
"112",1
"113",1
"114",1
"115",3
"116",5
"117",0
"118",2
"119",1
"120",3
"121",1
"122",4
"123",1
"124",1
"125",3
"126",0
"127",1
"128",1
"129",1
"130",2
"131",0
"132",1
"133",3
"134",1
"135",1
"136",2
"137",0
"138",0
"139",1
"140",2
"141",0
"142",3
"143",3
"144",1
"145",0
"146",1
"147",0
"148",1
"149",0
"150",1
"151",0
"152",0
"153",2
"154",1
"155",0
"156",0
"157",2
"158",1
"159",0
"160",0
"161",1
"162",0
"163",0
"164",0
"165",2
"166",3
"167",1
"168",0
"169",2
"170",0
"171",0
"172",5
"173",0
"174",0
"175",1
"176",0
"177",1
"178",1
"179",4
"180",1
"181",0
"182",1
"183",2
"184",4
"185",0
"186",1
"187",2
"188",1
"189",0
"190",2
"191",1
"192",1
"193",0
"194",2
"195",0
"196",1
"197",0
"198",2
"199",0
"200",0
"201",4
"202",2
"203",5
"204",2
"205",2
"206",9
"207",0
"208",2
"209",1
"210",0
"211",1
"212",0
"213",3
"214",1
"215",2
"216",0
"217",4
"218",0
"219",1
"220",1
"221",0
"222",2
"223",1
"224",1
"225",1
"226",2
"227",2
"228",1
"229",1
"230",1
"231",1
"232",1
"233",6
"234",2
"235",2
"236",1
"237",1
"238",1
"239",1
"240",0
"241",1
"242",2
"243",0
"244",4
"245",10
"246",2
"247",2
"248",0
"249",2
"250",0
"251",1
"252",1
"253",1
"254",1
"255",1
"256",20
"257",1
"258",1
"259",4
"260",0
"261",1
"262",1
"263",1
"264",1
"265",0
"266",3
"267",1
"268",0
"269",0
"270",1
"271",2
"272",0
"273",1
"274",3
"275",1
"276",3
"277",1
"278",0
"279",1
"280",2
"281",1
"282",1
"283",0
"284",0
"285",0
"286",2
"287",4
"288",1
"289",1
"290",0
"291",0
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",3
"300",0
"301",3
"302",2
"303",1
"304",1
"305",0
"306",0
"307",1
"308",1
"309",2
"310",0
"311",4
"312",0
"313",1
"314",3
"315",1
"316",0
"317",1
"318",2
"319",1
"320",2
"321",2
"322",0
"323",1
"324",1
"325",0
"326",2
"327",3
"328",1
"329",2
"330",1
"331",3
"332",0
"333",5
"334",6
"335",1
"336",1
"337",4
"338",1
"339",0
"340",2
"341",2
"342",2
"343",3
"344",0
"345",1
"346",1
"347",0
"348",2
"349",0
"350",1
"351",2
"352",1
"353",1
"354",1
"355",6
"356",0
"357",1
"358",0
"359",2
"360",1
"361",0
"362",1
"363",2
"364",1
"365",3
"366",1
"367",0
"368",7
"369",1
"370",0
"371",1
"372",3
"373",4
"374",0
"375",2
"376",1
"377",0
"378",1
"379",0
"380",0
"381",1
"382",2
"383",1
"384",1
"385",0
"386",0
"387",4
"388",3
"389",1
"390",1
"391",4
"392",0
"393",0
"394",0
"395",2
"396",1
"397",1
"398",3
"399",0
"400",1
"401",1
"402",1
"403",0
"404",0
"405",1
"406",0
"407",4
"408",0
"409",0
"410",5
"411",2
"412",1
"413",0
"414",3
"415",0
"416",1
"417",7
"418",1
"419",2
"420",2
"421",1
"422",0
"423",2
"424",1
"425",1
"426",1
"427",2
"428",1
"429",2
"430",3
"431",0
"432",1
"433",1
"434",5
"435",0
"436",0
"437",7
"438",1
"439",0
"440",4
"441",1
"442",1
"443",6
"444",1
"445",1
"446",1
"447",1
"448",0
"449",2
"450",1
"451",1
"452",7
"453",0
"454",0
"455",0
"456",4
"457",0
"458",0
"459",0
"460",1
"461",3
"462",1
"463",2
"464",1
"465",5
"466",3
"467",0
"468",0
"469",0
"470",1
"471",2
"472",0
"473",0
"474",1
"475",1
"476",1
"477",1
"478",1
"479",0
"480",0
"481",0
"482",0
"483",1
"484",3
"485",1
"486",6
"487",1
"488",3
"489",0
"490",0
"491",2
"492",1
"493",3
"494",0
"495",2
"496",0
"497",4
"498",1
"499",2
"500",1
"501",0
"502",0
"503",1
"504",0
"505",3
"506",1
"507",1
"508",4
"509",1
"510",1
"511",2
"512",1
"513",0
"514",1
"515",2
"516",1
"517",4
"518",1
"519",1
"520",0
"521",0
"522",0
"523",0
"524",3
"525",1
"526",1
"527",1
"528",0
"529",2
"530",0
"531",1
"532",1
"533",1
"534",0
"535",3
"536",9
"537",2
"538",3
"539",3
"540",2
"541",1
"542",1
"543",1
"544",1
"545",0
"546",4
"547",0
"548",1
"549",2
"550",1
"551",1
"552",3
"553",2
"554",2
"555",2
"556",1
"557",1
"558",1
"559",0
"560",1
"561",0
"562",0
"563",1
"564",1
"565",5
"566",0
"567",6
"568",1
"569",7
"570",2
"571",2
"572",0
"573",1
"574",4
"575",1
"576",2
"577",1
"578",1
"579",1
"580",0
"581",0
"582",4
"583",11
"584",1
"585",1
"586",1
"587",2
"588",9
"589",1
"590",4
"591",0
"592",5
"593",2
"594",1
"595",5
"596",0
"597",6
"598",11
"599",2
"600",2
"601",0
"602",0
"603",2
"604",1
"605",1
"606",3
"607",2
"608",1
"609",1
"610",2
"611",2
"612",1
"613",1
"614",0
"615",15
"616",4
"617",1
"618",0
"619",0
"620",2
"621",2
"622",1
"623",1
"624",0
"625",1
"626",2
"627",2
"628",1
"629",3
"630",0
"631",0
"632",1
"633",3
"634",1
"635",2
"636",0
"637",1
"638",1
"639",1
"640",3
"641",1
"642",0
"643",0
"644",1
"645",0
"646",2
"647",2
"648",7
"649",1
"650",4
"651",0
"652",1
"653",2
"654",0
"655",2
"656",4
"657",2
"658",0
"659",4
"660",4
"661",1
"662",2
"663",0
"664",1
"665",2
"666",2
"667",0
"668",1
"669",0
"670",3
"671",1
"672",0
"673",0
"674",3
"675",2
"676",1
"677",1
"678",0
"679",1
"680",2
"681",5
"682",1
"683",1
"684",1
"685",6
"686",2
"687",0
"688",2
"689",2
"690",5
"691",2
"692",1
"693",1
"694",1
"695",1
"696",1
"697",1
"698",2
"699",0
"700",0
"701",0
"702",2
"703",0
"704",1
"705",0
"706",1
"707",2
"708",1
"709",1
"710",2
"711",0
"712",0
"713",6
"714",1
"715",1
"716",1
"717",16
"718",6
"719",0
"720",4
"721",1
"722",1
"723",0
"724",0
"725",0
"726",3
"727",1
"728",0
"729",2
"730",2
"731",1
"732",0
"733",1
"734",1
"735",1
"736",1
"737",2
"738",0
"739",1
"740",1
"741",13
"742",1
"743",0
"744",0
"745",2
"746",0
"747",1
"748",0
"749",3
"750",1
"751",0
"752",1
"753",1
"754",1
"755",1
"756",0
"757",1
"758",7
"759",2
"760",1
"761",3
"762",2
"763",1
"764",3
"765",2
"766",12
"767",5
"768",4
"769",1
"770",1
"771",1
"772",2
"773",1
"774",0
"775",1
"776",0
"777",1
"778",1
"779",0
"780",0
"781",2
"782",0
"783",1
"784",1
"785",3
"786",0
"787",2
"788",0
"789",1
"790",1
"791",1
"792",1
"793",1
"794",1
"795",1
"796",0
"797",3
"798",0
"799",1
"800",3
"801",5
"802",0
"803",3
"804",0
"805",16
"806",2
"807",14
"808",1
"809",3
"810",1
"811",3
"812",1
"813",1
"814",0
"815",2
"816",1
"817",13
"818",1
"819",1
"820",1
"821",1
"822",2
"823",1
"824",0
"825",0
"826",2
"827",2
"828",2
"829",2
"830",1
"831",1
"832",1
"833",3
"834",2
"835",0
"836",2
"837",0
"838",0
"839",4
"840",0
"841",0
"842",0
"843",0
"844",1
"845",1
"846",1
"847",1
"848",2
"849",1
"850",1
"851",0
"852",2
"853",1
"854",1
"855",0
"856",0
"857",1
"858",1
"859",2
"860",4
"861",2
"862",1
"863",2
"864",0
"865",1
"866",3
"867",1
"868",2
"869",6
"870",2
"871",0
"872",0
"873",0
"874",2
"875",0
"876",0
"877",0
"878",1
"879",1
"880",1
"881",0
"882",0
